ORIGIN,ORIGIN_CITY,AIRLINE,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
BHM,Birmingham,Delta Air Lines Inc.,2021,201,29,-8.985074626865671,33.56294,-86.75355,['ATL'],14.427860696517413
BHM,Birmingham,Endeavor Air Inc.,2021,129,16,-8.511627906976743,33.56294,-86.75355,"['ATL', 'DTW', 'LGA']",12.4031007751938
BHM,Birmingham,Envoy Air,2021,92,43,18.9438202247191,33.56294,-86.75355,"['MIA', 'ORD']",46.73913043478261
BHM,Birmingham,Mesa Airlines Inc.,2021,124,44,1.9180327868852458,33.56294,-86.75355,['IAH'],35.483870967741936
BHM,Birmingham,PSA Airlines Inc.,2021,264,100,6.49236641221374,33.56294,-86.75355,"['CLT', 'PHL']",37.878787878787875
BHM,Birmingham,Republic Airline,2021,93,39,19.397849462365592,33.56294,-86.75355,"['ORD', 'MIA', 'CLT', 'MCO']",41.935483870967744
BHM,Birmingham,SkyWest Airlines Inc.,2021,172,66,23.652439024390244,33.56294,-86.75355,"['DEN', 'IAH', 'ORD']",38.372093023255815
BHM,Birmingham,Southwest Airlines Co.,2021,348,129,4.979289940828402,33.56294,-86.75355,"['LAS', 'DAL', 'HOU', 'MDW', 'MCO', 'DEN', 'TPA', 'BWI']",37.06896551724138
BIL,Billings,Allegiant Air,2021,38,23,22.10810810810811,45.80766,-108.54286,"['LAS', 'AZA', 'SAN', 'PDX', 'LAX']",60.526315789473685
BIL,Billings,Delta Air Lines Inc.,2021,62,11,11.180327868852459,45.80766,-108.54286,"['MSP', 'SLC']",17.741935483870968
BIL,Billings,Envoy Air,2021,22,6,30.727272727272727,45.80766,-108.54286,['ORD'],27.27272727272727
BIL,Billings,Frontier Airlines Inc.,2021,12,5,27.833333333333332,45.80766,-108.54286,['DEN'],41.66666666666667
BIL,Billings,Horizon Air,2021,138,40,-2.2706766917293235,45.80766,-108.54286,"['PDX', 'SEA']",28.985507246376812
BIL,Billings,SkyWest Airlines Inc.,2021,204,39,-5.199004975124378,45.80766,-108.54286,"['SLC', 'DEN', 'MSP', 'PHX']",19.11764705882353
BIL,Billings,United Air Lines Inc.,2021,70,13,-2.0,45.80766,-108.54286,['DEN'],18.571428571428573
BJI,Bemidji,SkyWest Airlines Inc.,2021,71,9,-12.357142857142858,47.50942,-94.93372,['MSP'],12.676056338028168
BLI,Bellingham,Allegiant Air,2021,97,29,3.3333333333333335,48.79275,-122.53753,"['LAS', 'AZA', 'SAN', 'PSP', 'LAX', 'OAK']",29.896907216494846
BLI,Bellingham,Horizon Air,2021,143,32,-3.85,48.79275,-122.53753,['SEA'],22.377622377622377
BLI,Bellingham,Southwest Airlines Co.,2021,10,3,5.4,48.79275,-122.53753,"['LAS', 'OAK']",30.0
BNA,Nashville,Alaska Airlines Inc.,2021,66,26,8.784615384615385,36.12448,-86.67818,['SEA'],39.39393939393939
BNA,Nashville,Allegiant Air,2021,133,49,13.836206896551724,36.12448,-86.67818,"['FNT', 'PIT', 'ATW', 'RIC', 'FAR', 'SYR', 'EYW', 'XNA', 'MDT', 'BZN', 'GRR', 'VPS', 'PIA', 'JAX', 'SCE', 'DSM', 'SAV', 'FSD', 'CLE', 'MLB', 'BOI', 'ALB', 'GFK']",36.84210526315789
BNA,Nashville,American Airlines Inc.,2021,494,124,8.884057971014492,36.12448,-86.67818,"['ORD', 'PHX', 'CLT', 'MIA', 'LAX', 'LGA', 'PHL']",25.101214574898783
BNA,Nashville,Delta Air Lines Inc.,2021,594,109,-4.926994906621392,36.12448,-86.67818,"['DTW', 'ATL', 'SLC', 'LAX', 'SEA', 'MSP', 'LGA']",18.35016835016835
BNA,Nashville,Endeavor Air Inc.,2021,157,32,-8.242038216560509,36.12448,-86.67818,"['LGA', 'JFK', 'MSP']",20.382165605095544
BNA,Nashville,Envoy Air,2021,107,12,-13.186915887850468,36.12448,-86.67818,"['MIA', 'ORD', 'AUS']",11.214953271028037
BNA,Nashville,Frontier Airlines Inc.,2021,91,39,11.213483146067416,36.12448,-86.67818,"['DEN', 'LAS', 'MCO', 'PHL']",42.857142857142854
BNA,Nashville,JetBlue Airways,2021,78,37,5.605263157894737,36.12448,-86.67818,"['BOS', 'JFK']",47.43589743589743
